,lake_mix_layer_temperature,Date
0,-0.00034179687497726263,2019-05-01
1,-0.00034179687497726263,2019-05-02
2,0.002202100148338104,2019-05-03
3,0.02374140758320209,2019-05-04
4,0.05496524939729852,2019-05-05
5,0.11559740120765127,2019-05-06
6,0.28483145570152146,2019-05-07
7,0.5073492962978321,2019-05-08
8,1.0756836323615175,2019-05-09
9,1.9650076303993274,2019-05-10
10,3.24555307613241,2019-05-11
11,4.411306553538509,2019-05-12
12,5.494761585730373,2019-05-13
13,6.122933467387043,2019-05-14
14,6.394248840564785,2019-05-15
15,6.4398078558073735,2019-05-16
16,6.417905321286526,2019-05-17
17,6.5007052514766315,2019-05-18
18,6.6104801584292545,2019-05-19
19,6.983101100254828,2019-05-20
20,7.189718329269681,2019-05-21
21,7.758461316119337,2019-05-22
22,8.772699635345475,2019-05-23
23,9.659368031326153,2019-05-24
24,10.314552079139958,2019-05-25
25,11.280044959772852,2019-05-26
26,12.190134103664604,2019-05-27
27,13.098922664701831,2019-05-28
28,14.075650762342605,2019-05-29
29,14.992650163872042,2019-05-30
30,15.347104536370864,2019-05-31
31,16.172189622322207,2019-06-01
32,16.861496901506086,2019-06-02
33,16.473755032616054,2019-06-03
34,15.978957998193778,2019-06-04
35,15.6862133119713,2019-06-05
36,15.362313468722675,2019-06-06
37,14.224311044359467,2019-06-07
38,12.15528564856345,2019-06-08
39,12.278317644628885,2019-06-09
40,12.61159703647877,2019-06-10
41,13.074490998455872,2019-06-11
42,13.981032549571182,2019-06-12
43,15.549573174602187,2019-06-13
44,16.05778886965669,2019-06-14
45,16.18703910077943,2019-06-15
46,16.68914207816738,2019-06-16
47,17.192212308487854,2019-06-17
48,17.24842450399541,2019-06-18
49,16.992451009510546,2019-06-19
50,14.091089880132984,2019-06-20
51,13.422070518754822,2019-06-21
52,13.539220159765705,2019-06-22
53,14.139712846412294,2019-06-23
54,14.31981270562909,2019-06-24
55,14.019349993370668,2019-06-25
56,14.52390223741645,2019-06-26
57,15.451356949052922,2019-06-27
58,15.334481199204731,2019-06-28
59,15.813268083419644,2019-06-29
60,15.313368945416016,2019-06-30
61,15.79472028737024,2019-07-01
62,14.087640866865513,2019-07-02
63,13.9221100297367,2019-07-03
64,14.28331453751332,2019-07-04
65,14.638107006521125,2019-07-05
66,14.804390221405356,2019-07-06
67,15.017370762725875,2019-07-07
68,15.467432807528326,2019-07-08
69,15.630285035664315,2019-07-09
70,15.443249283592138,2019-07-10
71,16.057453797322125,2019-07-11
72,16.77865336089883,2019-07-12
73,17.834320474453932,2019-07-13
74,18.438518608411414,2019-07-14
75,18.443768143820307,2019-07-15
76,18.743827080627398,2019-07-16
77,18.680465321869747,2019-07-17
78,18.18086105118664,2019-07-18
79,15.926246804859659,2019-07-19
80,15.470732503594888,2019-07-20
81,16.149002561781572,2019-07-21
82,16.718448091670666,2019-07-22
83,18.21204886562225,2019-07-23
84,19.350152494110773,2019-07-24
85,17.128294206855173,2019-07-25
86,16.85260993764524,2019-07-26
87,17.714585327455097,2019-07-27
88,16.725497458853397,2019-07-28
89,16.73343798587166,2019-07-29
90,17.46931855760414,2019-07-30
91,17.67023609287719,2019-07-31
92,17.872721176504058,2019-08-01
93,18.29338909010295,2019-08-02
94,18.9996292736962,2019-08-03
95,17.99367667838976,2019-08-04
96,17.990612046761385,2019-08-05
97,18.3822320084563,2019-08-06
98,17.428180130380724,2019-08-07
99,17.47400184062326,2019-08-08
100,18.006732379529183,2019-08-09
101,16.200457584237483,2019-08-10
102,14.88160224719735,2019-08-11
103,14.370816005734468,2019-08-12
104,14.338626604525302,2019-08-13
105,15.164934760399376,2019-08-14
106,15.811434769460561,2019-08-15
107,15.882240440707847,2019-08-16
108,14.33685720265845,2019-08-17
109,14.14136521459011,2019-08-18
110,14.232166402093526,2019-08-19
111,14.23360924574365,2019-08-20
112,15.075840612024422,2019-08-21
113,16.039214283704837,2019-08-22
114,15.313580545932098,2019-08-23
115,15.32447023490721,2019-08-24
116,15.533323660131884,2019-08-25
117,14.686993072244945,2019-08-26
118,13.843893538402085,2019-08-27
119,14.317961960210766,2019-08-28
120,13.760272764386002,2019-08-29
121,13.64468359821717,2019-08-30
122,13.57053565786947,2019-08-31
123,13.556860080547665,2019-09-01
124,13.332951366878376,2019-09-02
125,13.74467031922319,2019-09-03
126,14.607255694029277,2019-09-04
127,14.995049719223687,2019-09-05
128,14.932367428143493,2019-09-06
129,14.723390798693856,2019-09-07
130,15.099633245322366,2019-09-08
131,13.728933342930532,2019-09-09
132,12.915311803377278,2019-09-10
133,12.052776340266973,2019-09-11
134,11.760618277757033,2019-09-12
135,12.397908156703124,2019-09-13
136,12.430874231696237,2019-09-14
137,12.680636079545934,2019-09-15
138,13.004514242829032,2019-09-16
139,12.910691162908392,2019-09-17
140,12.67458913368614,2019-09-18
141,12.672805232892415,2019-09-19
142,12.636222033565844,2019-09-20
143,12.104411238129273,2019-09-21
144,12.430114744994285,2019-09-22
145,12.52171208073787,2019-09-23
146,11.686678734133693,2019-09-24
147,10.637699175622288,2019-09-25
148,10.205315293041167,2019-09-26
149,9.193146123223869,2019-09-27
150,7.510364715150786,2019-09-28
151,6.237102101587254,2019-09-29
152,5.171826642057624,2019-09-30
