,Date,lake_mix_layer_temperature,lake_mix_layer_depth_min,lake_mix_layer_depth_max
0,2020-05-01,-0.00034179687497726263,0.3887331649199653,0.3887331649199653
1,2020-05-02,-0.00034179687497726263,0.3887331649199653,0.3887331649199653
2,2020-05-03,-0.00034179687497726263,0.3887331649199653,0.3887331649199653
3,2020-05-04,-0.00034179687497726263,0.3887331649199653,0.3887331649199653
4,2020-05-05,0.006553778551733558,0.3887331649199653,0.6854423009068713
5,2020-05-06,0.09403339818720724,0.6854423009068713,1.3940010775295768
6,2020-05-07,0.3323658599719579,1.4016435199956436,1.4016435199956436
7,2020-05-08,0.673614958756275,1.4016435199956436,2.9795454129568153
8,2020-05-09,1.3825990820469656,2.9795454129568153,2.9795454129568153
9,2020-05-10,2.0641016312191596,3.379929175831803,3.7570851733994446
10,2020-05-11,2.66697966632114,3.7570851733994446,3.7570851733994446
11,2020-05-12,2.995578870195743,3.7570851733994446,3.7570851733994446
12,2020-05-13,3.4054290163900305,3.7570851733994446,3.7570851733994446
13,2020-05-14,4.104110376225037,3.7570851733994446,3.7570851733994446
14,2020-05-15,4.49270330501804,3.7570851733994446,3.7570851733994446
15,2020-05-16,5.378177527514197,3.7570851733994446,3.7570851733994446
16,2020-05-17,6.3819986509960245,3.4635628786485357,3.7570851733994446
17,2020-05-18,7.288303312171877,3.4890329752672558,3.7570851733994446
18,2020-05-19,7.776192885859018,3.7570851733994446,3.7570851733994446
19,2020-05-20,8.010979756320637,3.7570851733994446,3.7570851733994446
20,2020-05-21,8.263609313827374,3.7570851733994446,3.7570851733994446
21,2020-05-22,6.797269297996536,3.7570851733994446,3.827541367470194
22,2020-05-23,5.99575399367842,3.8392599415182707,3.999999999999993
23,2020-05-24,6.493410442357401,3.8214020529601185,3.999999999999993
24,2020-05-25,7.587625803425738,3.8990840353424043,3.999999999999993
25,2020-05-26,8.506575930165923,3.9844749993431106,3.999999999999993
26,2020-05-27,8.678397523869535,3.999999999999993,3.999999999999993
27,2020-05-28,9.188555632850637,3.3184777906444225,3.999999999999993
28,2020-05-29,10.069962720528338,3.4331536355890186,3.595258641116255
29,2020-05-30,10.919823280339642,3.502361861317976,3.589412403859867
30,2020-05-31,12.528846716178009,3.454040125953423,3.5501702276207903
31,2020-06-01,12.862784221984441,3.5306486843018954,3.640644208084965
32,2020-06-02,12.856332706445926,3.487116888147125,3.586183158210337
33,2020-06-03,12.988159601971802,3.513273989050626,3.7001711484358557
34,2020-06-04,12.46393749691083,3.518357005514096,3.6830895304382727
35,2020-06-05,12.952449676479034,3.518357005514096,3.5974185389515303
36,2020-06-06,12.746076459791084,3.517576658733969,3.6398638613048377
37,2020-06-07,12.74541255041811,3.517576658733969,3.5821866155483297
38,2020-06-08,11.633619930668317,3.5586726057869855,3.6580189033362336
39,2020-06-09,12.279488995683153,3.4870755101198148,3.589399354092217
40,2020-06-10,13.013901891328771,3.487116888147125,3.5592457105267075
41,2020-06-11,13.9163151692199,3.4703413971708787,3.534658276731552
42,2020-06-12,14.908904723030616,3.463115608859342,3.529562210500434
43,2020-06-13,15.73608671725043,3.471898014511574,3.537098202052864
44,2020-06-14,15.940508773735019,3.2115201061435816,3.5672648953860215
45,2020-06-15,15.959446211653244,3.280724284978301,3.564811920297061
46,2020-06-16,16.22498800838781,3.4034188455770806,3.5447941339036344
47,2020-06-17,15.77366676731134,3.521573201395977,3.5763273285242922
48,2020-06-18,14.592730085634287,3.529872413741327,3.602781582901036
49,2020-06-19,14.844006690151446,2.8002667665760743,3.5680281161789407
50,2020-06-20,15.706310295058188,3.1040194926578746,3.537581395359746
51,2020-06-21,16.415867281155272,3.233229934208053,3.517529972823637
52,2020-06-22,16.88998836390823,3.206202135211777,3.5306486843018954
53,2020-06-23,17.867433125952346,3.145334617156763,3.4290114047344646
54,2020-06-24,18.378161931331135,3.024316555809133,3.2844117974122367
55,2020-06-25,17.93708612759633,3.06778348435482,3.45203198665205
56,2020-06-26,18.23828929320223,3.1765961420077438,3.3597347337073185
57,2020-06-27,17.74618817948732,3.289647481494546,3.49155512878742
58,2020-06-28,16.888432083808823,3.3492509022814594,3.555249167864702
59,2020-06-29,15.996757814063983,3.493579455665744,3.5789704196664487
60,2020-06-30,16.21599489664152,3.493579455665744,3.5332917754440536
61,2020-07-01,15.505558368423863,3.444748896664136,3.5541798200504457
62,2020-07-02,15.250215914515138,3.510350870422432,3.554663013357329
63,2020-07-03,15.501675854827056,3.4877030426544966,3.5415779380217534
64,2020-07-04,16.299224324254624,3.4893514482485495,3.5202067001084782
65,2020-07-05,16.4034378393427,3.487910284694901,3.5328085821371706
66,2020-07-06,16.61731218833046,3.476187634427267,3.5295923862552905
67,2020-07-07,17.328038972461286,3.476187634427267,3.5117173717099313
68,2020-07-08,16.76173236990053,3.510350870422432,3.550946498181359
69,2020-07-09,16.142741146411936,3.4823440749245496,3.5709642845747855
70,2020-07-10,16.734280284835222,3.484193769518931,3.5178566862200062
71,2020-07-11,17.329417007153097,3.4823440749245496,3.529092066961201
72,2020-07-12,17.83155323090159,3.4823440749245496,3.5202067001084782
73,2020-07-13,16.600589849497794,3.5215862511636264,3.629994981851143
74,2020-07-14,15.418483000776178,3.6013979556263305,3.703887663611826
75,2020-07-15,15.422054746619892,3.5669718181323353,3.6120471818601523
76,2020-07-16,16.146750049696493,3.4799041496032372,3.5843465133836045
77,2020-07-17,16.830023332593385,3.4826371521782353,3.5330886096232073
78,2020-07-18,16.438367524359876,3.524216292538135,3.622005972746687
