,lake_mix_layer_temperature,Date
0,-0.00034179687497726263,2023-05-01
1,0.029515647511914267,2023-05-02
2,0.2737054926185465,2023-05-03
3,0.8256447323237808,2023-05-04
4,2.0254984060611037,2023-05-05
5,3.4025781284703385,2023-05-06
6,4.300201095697389,2023-05-07
7,4.891937171976679,2023-05-08
8,5.502738631325883,2023-05-09
9,6.2673332519749465,2023-05-10
10,7.004207258042186,2023-05-11
11,7.812192287700725,2023-05-12
12,8.693492053258183,2023-05-13
13,9.553596377646272,2023-05-14
14,10.39374444749484,2023-05-15
15,11.473455875245861,2023-05-16
16,11.714409600359147,2023-05-17
17,11.780405013614995,2023-05-18
18,12.15115543375913,2023-05-19
19,13.338127888348424,2023-05-20
20,14.780566786746022,2023-05-21
21,15.95150757245267,2023-05-22
22,16.147713639407925,2023-05-23
23,15.704534777640447,2023-05-24
24,15.33355586559577,2023-05-25
25,14.784197351850935,2023-05-26
26,15.308391089551947,2023-05-27
27,16.050616339792953,2023-05-28
28,16.660128475988586,2023-05-29
29,16.987172713293262,2023-05-30
30,17.380860108866102,2023-05-31
31,17.1704757442846,2023-06-01
32,15.964658532008173,2023-06-02
33,16.674939813200865,2023-06-03
34,17.19943075935987,2023-06-04
35,17.83043984256517,2023-06-05
36,17.12475013189544,2023-06-06
37,17.264427522040023,2023-06-07
38,18.070864218760903,2023-06-08
39,18.622908966081866,2023-06-09
40,18.491500942437483,2023-06-10
41,18.858642301489567,2023-06-11
42,19.42472523983008,2023-06-12
43,20.239195620337796,2023-06-13
44,19.65765282998342,2023-06-14
45,16.31015960432785,2023-06-15
46,15.797866460496095,2023-06-16
47,16.116855395143432,2023-06-17
48,15.456273051901405,2023-06-18
49,14.37146623728944,2023-06-19
50,13.470469423700308,2023-06-20
51,12.633350712006916,2023-06-21
52,13.54723559709339,2023-06-22
53,14.467788032467467,2023-06-23
54,15.523988132502154,2023-06-24
55,16.64118439832913,2023-06-25
56,17.410677854100697,2023-06-26
57,18.55378313717216,2023-06-27
58,19.241904986704128,2023-06-28
59,20.21379579207445,2023-06-29
60,21.404319291274987,2023-06-30
61,21.116933879476278,2023-07-01
62,18.924944359847473,2023-07-02
63,16.242121764361116,2023-07-03
64,15.516212804789689,2023-07-04
65,16.512688060103983,2023-07-05
66,17.38545316764862,2023-07-06
67,18.256718740811436,2023-07-07
68,18.718034524005645,2023-07-08
69,19.782125921176657,2023-07-09
70,20.78685268875853,2023-07-10
71,20.05993343401468,2023-07-11
72,19.59221366796106,2023-07-12
73,19.89130677167003,2023-07-13
74,19.66102119373187,2023-07-14
75,19.941023693373324,2023-07-15
76,20.441121593512094,2023-07-16
77,20.305726424749253,2023-07-17
78,18.794364848600367,2023-07-18
79,17.702252738623258,2023-07-19
80,18.41913079221996,2023-07-20
81,19.41193163496513,2023-07-21
82,20.11597631000882,2023-07-22
83,20.752345023207795,2023-07-23
84,21.08118319178766,2023-07-24
85,21.201376757084972,2023-07-25
86,19.474696107812576,2023-07-26
87,17.391851676448425,2023-07-27
88,16.41001227807186,2023-07-28
89,16.480488265512236,2023-07-29
90,16.404298817313588,2023-07-30
91,17.54701758044149,2023-07-31
92,18.203647679362234,2023-08-01
93,18.63667165915558,2023-08-02
94,18.553343098518326,2023-08-03
95,18.336312195241476,2023-08-04
96,18.409010262415165,2023-08-05
97,18.665652723669325,2023-08-06
98,18.900732987853814,2023-08-07
99,19.301804495477597,2023-08-08
100,18.610796353810997,2023-08-09
101,17.78092833740118,2023-08-10
102,16.798539466827663,2023-08-11
103,16.663229687288833,2023-08-12
104,16.78195735068107,2023-08-13
105,17.953049672537873,2023-08-14
106,18.753017804711703,2023-08-15
107,18.851140796514073,2023-08-16
108,18.89128598979272,2023-08-17
109,19.073870876673993,2023-08-18
110,16.430464605843554,2023-08-19
111,15.57949732309686,2023-08-20
112,14.890231612554544,2023-08-21
113,14.934555975595117,2023-08-22
114,15.152061438315911,2023-08-23
115,14.946500947227321,2023-08-24
116,14.881310869590322,2023-08-25
117,15.266409245336945,2023-08-26
118,16.222307824380437,2023-08-27
119,16.894411630306763,2023-08-28
120,17.581636784849252,2023-08-29
121,17.921991923229996,2023-08-30
122,18.031824409227738,2023-08-31
123,17.406189436614568,2023-09-01
124,17.46775747670557,2023-09-02
125,17.261230596559585,2023-09-03
126,16.159434499609063,2023-09-04
127,14.641007982088183,2023-09-05
128,13.984105185790042,2023-09-06
129,14.052986585708766,2023-09-07
130,13.895763334526407,2023-09-08
131,14.139046960023904,2023-09-09
132,14.158388557066132,2023-09-10
133,13.828809970573673,2023-09-11
134,14.307062279854563,2023-09-12
135,14.664422778180665,2023-09-13
136,14.154989756079203,2023-09-14
137,13.519278985772303,2023-09-15
138,13.610653895069333,2023-09-16
139,13.718995919205781,2023-09-17
140,13.541026125419762,2023-09-18
141,12.4812013387849,2023-09-19
142,11.934333821629139,2023-09-20
143,11.273318125906428,2023-09-21
144,10.940273584664169,2023-09-22
145,11.239637557806077,2023-09-23
146,11.85001310597437,2023-09-24
147,11.99195575005615,2023-09-25
148,11.69308324973656,2023-09-26
149,11.62512668123037,2023-09-27
150,11.599756978624725,2023-09-28
151,11.31047658538347,2023-09-29
152,10.325088184171705,2023-09-30
