,Date,lake_mix_layer_temperature,lake_mix_layer_depth_min,lake_mix_layer_depth_max
0,2023-05-01,-0.00034179687497726263,-7.10543413386458e-15,-7.10543413386458e-15
1,2023-05-02,-0.00034179687497726263,-7.10543413386458e-15,-7.10543413386458e-15
2,2023-05-03,-0.00034179687497726263,-7.10543413386458e-15,-7.10543413386458e-15
3,2023-05-04,-0.00034179687497726263,-7.10543413386458e-15,-7.10543413386458e-15
4,2023-05-05,0.2011018857056115,-7.10543413386458e-15,2.3167729818634357
5,2023-05-06,1.8135609988071906,2.3167729818634357,2.3533517069701206
6,2023-05-07,2.874136929898725,2.3533517069701206,2.931008568189894
7,2023-05-08,4.048200108260062,2.8752347639580305,2.931008568189894
8,2023-05-09,5.24608945525506,2.931008568189894,2.999999999999993
9,2023-05-10,6.366011353407316,2.999999999999993,2.999999999999993
10,2023-05-11,7.579611537421499,2.997341193990036,2.999999999999993
11,2023-05-12,8.724270124874124,2.993796119310093,2.999999999999993
12,2023-05-13,9.864893041170319,2.974016213993592,2.999999999999993
13,2023-05-14,10.988399141328955,2.999999999999993,2.999999999999993
14,2023-05-15,12.053946152927267,2.999999999999993,2.999999999999993
15,2023-05-16,13.242397421578744,2.999999999999993,2.999999999999993
16,2023-05-17,13.60393189113256,2.999999999999993,2.999999999999993
17,2023-05-18,13.528138497770044,2.999999999999993,2.999999999999993
18,2023-05-19,13.422664885794575,2.999999999999993,2.999999999999993
19,2023-05-20,14.279010180513637,2.2220714238086705,2.999999999999993
20,2023-05-21,15.44670851206888,2.218436055298713,2.948151893669979
21,2023-05-22,15.904483991598568,1.2067631467816433,2.9627392091927387
22,2023-05-23,15.217780545245091,2.8990389958214724,2.999999999999993
23,2023-05-24,14.61531510694499,2.999999999999993,2.999999999999993
24,2023-05-25,14.498968323535337,2.999999999999993,2.999999999999993
25,2023-05-26,13.955138540833218,2.999999999999993,2.999999999999993
26,2023-05-27,14.330745419556138,2.999999999999993,2.999999999999993
27,2023-05-28,14.60107611723572,2.999999999999993,2.999999999999993
28,2023-05-29,15.408200103629554,2.999999999999993,2.999999999999993
29,2023-05-30,15.97797153521742,2.999999999999993,2.999999999999993
30,2023-05-31,16.33033562448145,2.192710648559737,2.999999999999993
31,2023-06-01,16.171988145114767,2.999999999999993,2.999999999999993
32,2023-06-02,14.594225998973911,2.999999999999993,2.999999999999993
33,2023-06-03,14.955252276330668,2.999999999999993,2.999999999999993
34,2023-06-04,15.557971521326067,2.999999999999993,2.999999999999993
35,2023-06-05,16.430069327139677,2.999999999999993,2.999999999999993
36,2023-06-06,16.623501284487702,2.999999999999993,2.999999999999993
37,2023-06-07,16.364910000203793,2.999999999999993,2.999999999999993
38,2023-06-08,17.285740717331237,2.885339338104545,2.999999999999993
39,2023-06-09,17.822955550894335,2.999999999999993,2.999999999999993
40,2023-06-10,17.902554076743286,2.999999999999993,2.999999999999993
41,2023-06-11,18.246386209400214,2.999999999999993,2.999999999999993
42,2023-06-12,18.261425862282977,2.999999999999993,2.999999999999993
43,2023-06-13,18.93287810194039,2.999999999999993,2.999999999999993
44,2023-06-14,18.372520959744747,2.999999999999993,2.999999999999993
45,2023-06-15,15.041399883127383,2.999999999999993,2.999999999999993
46,2023-06-16,14.112855931332263,2.999999999999993,2.999999999999993
47,2023-06-17,14.66039100238197,2.9597581236664228,2.999999999999993
48,2023-06-18,15.08485859291659,2.999999999999993,2.999999999999993
49,2023-06-19,13.993252666214744,2.999999999999993,2.999999999999993
50,2023-06-20,12.403373840534698,2.999999999999993,2.999999999999993
51,2023-06-21,10.994069478092456,2.966805209815072,2.999999999999993
52,2023-06-22,11.64651035184039,2.9925070012446593,2.999999999999993
53,2023-06-23,12.672665869765751,2.9875463971372618,2.999999999999993
54,2023-06-24,13.860483345187333,2.8156616731863378,2.994624044274531
55,2023-06-25,14.849642876326243,2.9211081970127957,2.994624044274531
56,2023-06-26,15.850601437940782,2.0480099239864797,2.9776001844772337
57,2023-06-27,17.320382581903573,1.4192675920163518,2.4217138602418142
58,2023-06-28,18.11199478286892,1.744382334637262,2.8862006023292963
59,2023-06-29,19.513232954377145,1.233688766891885,2.565890880600989
60,2023-06-30,20.243371205807023,1.3509276649182007,2.485026504711942
61,2023-07-01,20.53328935560768,1.4961743198790824,2.5505492643136494
62,2023-07-02,19.11833809806933,2.482019025604546,2.962307187944517
63,2023-07-03,17.173354244458324,2.888407939189182,2.9955200368954418
64,2023-07-04,15.95839699048355,2.9955200368954418,2.999999999999993
65,2023-07-05,16.211386237183035,2.999999999999993,2.999999999999993
66,2023-07-06,16.9684824061315,2.999999999999993,2.999999999999993
67,2023-07-07,17.444619656920565,2.999999999999993,2.999999999999993
68,2023-07-08,18.10032436322024,2.999999999999993,2.999999999999993
69,2023-07-09,18.811795407146576,1.7600476195768067,2.999999999999993
70,2023-07-10,19.668251138165317,1.7003939589260244,2.996022904071828
71,2023-07-11,19.527626543329973,2.96785122910739,2.9964160295163516
72,2023-07-12,19.025871138665423,2.990144081169979,2.999999999999993
73,2023-07-13,18.912521473725008,2.999999999999993,2.999999999999993
74,2023-07-14,18.579183452058203,2.999999999999993,2.999999999999993
75,2023-07-15,18.696132657379906,2.1409319990220412,2.999999999999993
76,2023-07-16,19.411360156157457,2.796192934299424,2.999999999999993
77,2023-07-17,19.477563071397924,2.999999999999993,2.999999999999993
78,2023-07-18,18.674858852221917,2.999999999999993,2.999999999999993
79,2023-07-19,17.961747470383727,2.849652438211231,2.999999999999993
80,2023-07-20,18.071786940363552,2.9287887291073904,2.999999999999993
