,B_0,A_0,D_0,e_BD,alpha_B,alpha_D,alpha_Y,tau_B,tau_D,tau_Y,a_A,a_D,sigma_A,sigma_D,x_A,x_D,n_D,MSE,MSEM,MSEB,MSEP,MSEO
PIGEON LAKE,0.04878997569616805,0.013325717699132267,0.01960986390755648,0.7311770019326597,0.005029185644240115,0.0018243071358284204,0.011767259327752395,1.9954469545767606,0.5379242669330448,0.699528134181048,0.024083190819451723,0.09534714555183814,0.006673768197855697,0.001679744325800424,0.009974161818378497,0.008183274369099337,0.05447316694440134,2.547954317047756,0.006253223337738089,0.14119208101702144,5.568984508974893e-05,10.044316273991175
PIGEON LAKE,0.08786172587240604,0.09127994838341184,0.01147907951670829,0.7801344813799833,0.0056165155324656435,0.00860714952938734,0.0018552328414353607,1.6147965732888179,1.7312591335118055,1.6893359078966663,0.07644217762991992,0.028542259949736425,0.0036587269282620893,0.005147876093764426,0.008230050212115021,0.008645642419196135,0.0010118138871317989,2.8285823969119854,0.06685684205475509,0.1620241885748435,7.401503464279758e-05,11.0853745419837
PIGEON LAKE,0.039568892250513285,0.07297767338826583,0.09248235409684712,0.7188397959744149,0.005066835921357507,0.009463455403880536,0.008492669736457598,1.6841789611476672,1.4027123176488432,0.7817502515567611,0.08576026277367643,0.04170432383823316,0.008234437707055915,0.009574482877473683,0.007269439275467851,0.006519076725973855,0.04537676183714014,2.846601804897448,0.07641972592619554,0.16517765891720085,0.0004336989519123597,11.144376135794483
PIGEON LAKE,0.070641271880767,0.0555837616553894,0.02069445990453672,0.7782059955695388,0.006210605592229007,0.007697508245722797,0.0105124003543497,0.9408769983689773,0.641947383713031,1.476574987994481,0.020340849302096866,0.06913672954201165,0.004697821275530388,0.004183317322268241,0.009207315414774979,0.0013746105631517362,0.0878653543697011,2.6517000653011205,0.020353258186999047,0.1335711201293955,4.384208902976672e-05,10.452832040799057
PIGEON LAKE,0.007988569725183484,0.039688804474998556,0.007629859045804113,0.7994598066265198,0.001845611154889298,0.001961334373266083,0.004095582505845918,0.7673004500408938,1.7885768018863393,1.2693614925291818,0.003830265423975819,0.06180315029503538,0.004341805831053791,0.0015699343833275817,0.004053462368377713,0.007802513457079434,0.11947300170539528,2.633647477184244,0.01996241185043871,0.11753495576401277,5.0078148904934326e-05,10.39704246297362
PIGEON LAKE,0.0943460438292022,0.018981578824472267,0.02348216528746029,0.6624630181716182,0.009088110546575514,0.006733507147457449,0.007261696492756762,0.9620057707441984,0.6546856250886119,0.7701338624130903,0.027286018224270726,0.07808583703534058,0.00394058380426911,0.00933889993757741,0.001997934949524738,0.003002229210665738,0.0632915020550108,2.7547400177653594,0.04346605042323809,0.15241801696242524,0.0001442768685461674,10.822931726807228
PIGEON LAKE,0.09675873466558012,0.02900591959734038,0.09885460650589149,0.7871197336437176,0.00321347564418913,0.005977586074452485,0.003561550709023283,0.6537474104793757,1.6076739502987176,1.1483823623216303,0.02699473016782916,0.06715562029514231,0.009751616487948249,0.007338577640211603,0.008420594588488524,0.001452860533714218,0.026545974131445098,2.846090081101466,0.07702923197108236,0.1661718255133685,0.0008000938926785595,11.140359173028735
PIGEON LAKE,0.05865921404653854,0.033311452046240767,0.0696483716059044,0.7390908154694706,0.007864749516886566,0.0043031114471938055,0.007745892231195541,0.9096785441905234,1.7361304287100778,1.649614362677756,0.06633014740750806,0.014698494108625289,0.007740029201754174,0.006842996586850394,0.008631157247749526,0.004390987981807381,0.0856539809342367,2.8066998068845583,0.06416073204521291,0.15566940624228603,0.00022165657353811114,11.006747432677196
PIGEON LAKE,0.03766382868154816,0.0820883633150878,0.004972310891568063,0.7136396240596626,0.004646330229770095,0.0024499011295342995,0.0009713478026422504,1.5116285735958908,0.8455109009510634,1.4690239745748852,0.037424629428695316,0.07162906183281433,0.004973362705180603,0.004559238033903925,0.0015211291266049509,0.0038152914488449228,0.14046388123252418,2.567748645915415,0.016680310199869867,0.1008018527087485,2.400549736452998e-05,10.153488415255676
PIGEON LAKE,0.09322689439595365,0.061180697162159105,0.062253240680037784,0.6785452396759131,0.008712944515511929,0.0030470520674629508,0.0013982208195010646,1.536075665524426,1.9520807119572312,0.6057230558177831,0.07091681192375107,0.08687668617894626,0.0015769611829858426,0.005106196223455916,0.00788108591552138,0.002798701081009189,0.05792205160340075,2.8496673062115785,0.07769775560653717,0.16706403683922158,0.00025197529992689895,11.153655457100628
