,B_0,A_0,D_0,alpha_D,alpha_Y,tau_D,tau_Y,a_A,a_D,sigma_A,sigma_D,x_A,x_D,n_D,MSE,MSEM,MSEB,MSEP,MSEO
PIGEON LAKE,0.015008242151048713,0.03521359061958517,0.04719100356693501,0.0056462751196815954,0.010790389765194168,1.1498520451427798,1.4044420170813885,0.01722538643383241,0.04995109027486079,0.0010164332079496755,0.00247354891682105,0.003166843531678147,0.007557454900597477,0.042655005290430925,0.387528489066489,0.013095265030080998,,,0.7619617131028971
PIGEON LAKE,0.09133001365104532,0.09759519726997479,0.05671088153003238,0.006243738747579134,0.009579559037411794,0.8037781423502206,0.6619431986239566,0.018135710109115792,0.0022314165549977144,0.007013069893555331,0.009648282541688046,0.008848845577923134,0.001282279125777574,0.08751588894315107,0.3585550902483346,0.012845827134291846,,,0.7042643533623774
PIGEON LAKE,0.016797535033270285,0.05030609684538501,0.039059322392527136,0.007853302679104213,0.00891974744660764,0.7378890600526953,1.5138695867376109,0.026225028186556365,0.01411303265741947,0.008168258877936872,0.0011261606319363402,0.007707396056462205,0.006080936880671002,0.16355096283028192,0.37315289072240054,0.014262656249015678,,,0.7320431251957854
PIGEON LAKE,0.04882570377315658,0.06046375872570186,0.08151828548703945,0.004829879061789642,0.010216200061285274,0.5183459567776332,1.2598447701221795,0.0625476695233427,0.0830992580836788,0.004330036670690617,0.008156737394025195,0.001340832100493584,0.004546472812837211,0.1377010345443152,0.34766793251501404,0.012627384578301863,,,0.6827084804517263
PIGEON LAKE,0.047116205936394345,0.04550380352409983,0.05021089191648677,0.0011819039539429253,0.012929810980664161,0.6049738820629675,1.037933065844938,0.04340757679712987,0.05844342522745571,0.0051490129463518525,0.009455356396922132,0.004437096200057151,0.009644348985331454,0.11946277628675292,0.3382264712229578,0.012763373552808415,,,0.6636895688931072
PIGEON LAKE,0.03138088892523811,0.08926108673661642,0.03405472485806513,0.004375385052346529,0.010396989938921571,1.4786374856730264,0.8021746168881956,0.05237594168458832,0.06220286847857439,0.0076796944268723594,0.003719215821952771,0.0012320398426220562,0.0032305774152019506,0.19198406115199984,0.35959778798057257,0.014166323958587985,,,0.7050292520025572
PIGEON LAKE,0.02435874708469493,0.05325744805152404,0.006694299600154233,0.0013981461831661613,0.0009791531756082085,0.7693595487783873,1.9415590912484983,0.018618548704344186,0.041080603734588675,0.006017628263623249,0.0048755712905916015,0.006262751129751483,0.005950279929255256,0.14388236465277784,0.34502491499545085,0.013588496665556685,,,0.676461333325345
PIGEON LAKE,0.009181776240835215,0.09014320328846889,0.05580252996170446,0.005334241671779418,0.005739191913942726,0.669254467468849,0.7895812913839795,0.014790200751601729,0.09094153129301238,0.002923848299561952,0.0026811896929230506,0.009779774538384637,0.0035411237956440144,0.10072613503966077,0.450203800395663,0.017891341027753697,,,0.8825162597635723
PIGEON LAKE,0.0189030868717626,0.009326861983898246,0.01004659261166383,0.003830223881973957,0.008947877787995346,1.2678138946833015,1.9645502161828932,0.05840579657120114,0.08583666944776208,0.005581444319354468,0.009523506861240242,0.005401513325507123,0.007754901464790071,0.1902409179309732,0.32083304401650886,0.011923088405842473,,,0.6297429996271753
PIGEON LAKE,0.04086483369155542,0.056442054822408265,0.0004858182844953915,0.006436077817403076,0.01029597444890631,0.8578572432922968,0.5451326353746523,0.053653219920863755,0.055299907700332974,0.003799195998357326,0.006644016714514524,0.0064490388615152106,0.004315181063792597,0.21532809792776542,0.3323429901488822,0.013103463835683178,,,0.6515825164620812
PIGEON LAKE,0.05769675319310197,0.07215994427679817,0.0612513122457919,0.007685175785273559,0.0069750696188188065,1.3694890997538645,1.3725345764528685,0.08470376948827296,0.03732022720404692,0.006390934359443905,0.0076820994074708205,0.009560031814759878,0.006807672106242383,0.22353524957787074,0.3367398201299607,0.013114435700338755,,,0.6603652045595826
PIGEON LAKE,0.01345651622232829,0.07055466932849884,0.07561965400945712,0.0035353919815832384,0.002544294467169683,1.4354789056569952,1.3520103837663886,0.02295965290970255,0.05181909439502783,0.003115647137588286,0.002589549766215695,0.009274565598508214,0.002019086945540333,0.22777224642860947,0.40163819662575356,0.015735666868555355,,,0.7875407263829518
PIGEON LAKE,0.08101103792802597,0.03251944805078892,0.03066734664252644,0.004433308098316543,0.0027588742842868147,1.7833548921489668,1.496384753478004,0.0086434185036161,0.07979550790984336,0.0018845488221313732,0.0030082677501322695,0.0023141073387799712,0.0022372637941662833,0.0688260908173363,0.3429801767359834,0.012636641066954186,,,0.6733237124050127
PIGEON LAKE,0.021233822333747855,0.09218485798908517,0.09773520847119588,0.005071181417852318,0.009277146658570717,1.2036865978624365,0.6160995831613931,0.006399527264691091,0.045702493810417556,0.0036724577234147687,0.002884449729725541,0.0047779098667846045,0.0050304816190423285,0.15181293652621308,0.40191169220053696,0.015111633640681053,,,0.7887117507603929
PIGEON LAKE,0.0041426091787226255,0.05795058057154792,0.02384787238260564,0.008513418523502972,0.007277643820432449,1.9263586520108498,1.3584909443639959,0.03759118114892551,0.04717966755400695,0.0016868141164880506,0.006126329127141984,0.00937026867550719,0.005392415067672767,0.09819254116421867,0.4637579598639291,0.01888118453133475,,,0.9086347351965235
PIGEON LAKE,0.03584077740359117,0.08151724361675561,0.036856151721349976,0.007220519291744238,0.011185500703623872,0.724391834780954,1.8234621004742175,0.08746284615690832,0.01832033169064834,0.0026252333483614506,0.008771647317990518,0.00733057301737491,0.004599308021272069,0.05295466367396298,0.3787264112987989,0.013567191848656611,,,0.7438856307489412
PIGEON LAKE,0.0465555195479077,0.05217061115436631,0.032890086980377334,0.008966704091535134,0.012445905938703088,0.917164471445745,0.9669136963415563,0.08818733859607092,0.0808121923568419,0.008379694887261056,0.008000487236232905,0.002973937210952952,0.003620620057174231,0.16488282732910792,0.3343330081555716,0.012943761081672125,,,0.655722255229471
PIGEON LAKE,0.028197808668734878,0.08889786319954562,0.025832230963091587,0.007123222840421556,0.005912050150148864,1.7620095025624305,1.6892895532771655,0.08030707501368112,0.055705874050746826,0.0036288413304642656,0.009992572129936254,0.0038637152472515606,0.0018001392805681812,0.1846575996416484,0.3624632616207602,0.01431577644653488,,,0.7106107467949855
PIGEON LAKE,0.060511487865672876,0.03229232387710507,0.09753193189704489,0.001516614485214539,0.00020922962898691898,0.7102056837321302,0.8696501546346886,0.012846462838005557,0.028321328798685128,0.006452254830794418,0.005269321311471455,0.0018485372537436731,0.007374568749176409,0.18663046216203616,0.3284387624947167,0.012185459112503003,,,0.6446920658769304
PIGEON LAKE,0.06834435999523433,0.06712581416981717,0.054721622689929444,0.004404496683441644,0.010106399141183775,1.5414651963229131,1.7801169936747037,0.09149209877457878,0.0034967518074033033,0.0021124173881198255,0.009276963845578282,0.006149031080332466,0.007819580572211368,0.0757176207347085,0.3477727879143066,0.012312880300976464,,,0.6832326955276368
PIGEON LAKE,0.05603476673039755,0.05462557988523864,0.03456300939669146,0.003085146621190584,0.0101487995590188,1.9442705154184634,1.0784849226380966,0.02716143726459398,0.005511554886473452,0.005308735862626373,0.00828333460704734,0.007107218848458569,0.0074387366985165,0.1954662398645167,0.32678659881422356,0.0129002061241555,,,0.6406729915042916
PIGEON LAKE,0.03921423699071614,0.06206695459232589,0.029951886234393828,0.005538489475219728,0.002994349384656967,1.0227524899069955,1.170602574023157,0.06394463639135753,0.05462044939269776,0.005971444314732205,0.003311320802169913,0.007436465898850807,0.002498619771648507,0.24699354527115885,0.3352568702172561,0.0132171104658844,,,0.6572966299686278
PIGEON LAKE,0.04518241790348531,0.05699778403244741,0.011077199118685564,0.0032749158399508556,0.0031850286388436983,0.6327462576353984,1.0428618872756443,0.022126153964102377,0.08220255250500993,0.008959211388525123,0.00433914075746652,0.0036555655983683015,0.009824696400463497,0.023262167286674143,0.3621580667897884,0.013654039865138735,,,0.7106620937144381
PIGEON LAKE,0.05508785645072575,0.043218187483978016,0.014480501950177652,0.008295726491929412,0.008382864334530707,0.894957690445594,1.5836311447645472,0.04120659500771905,0.06928771847443572,0.004396977140985335,0.006407637183783112,0.0062724806335653135,0.0012073404960356625,0.07945464420112641,0.33416781562280284,0.012897210586965467,,,0.6554384206586402
PIGEON LAKE,0.0722641828062841,0.08305204538677846,0.06343314415660821,0.007773583902706318,0.009716042258008295,1.0785571000066834,1.5560059303029448,0.07688444546128147,0.0939838033619303,0.009558326778023988,0.0069897482555142925,0.0044884439642406855,0.009876419383475391,0.1921779339265774,0.33817828856002685,0.013170706276784513,,,0.6631858708432692
PIGEON LAKE,0.0022157658692692345,0.07406770807337737,0.05823532422851018,0.0066050310834771635,0.0005751619185018157,1.6454478066770997,1.2015704341188687,0.012021965564924346,0.04856650061510676,0.004904385006395182,0.004428659912953189,0.001515650239837055,0.0014719306036079282,0.1895495646123917,0.5054680463893473,0.021275283237054403,,,0.9896608095416403
PIGEON LAKE,0.03697117274974954,0.06613596316068995,0.05244687468636398,0.0027516479600609494,0.011077429404479634,1.7287877743582567,0.7940016461880011,0.057277855353971015,0.03845093352471389,0.004687900313235518,0.0025695307612242564,0.005031362348652092,0.00977674740785641,0.11736977696112105,0.3565149030695536,0.01345644883152633,,,0.6995733573075809
PIGEON LAKE,0.04383383479271045,0.022847601107782056,0.046527610645072,0.005418742346180432,0.004201776760368189,0.9596299424481894,0.8854742140816994,0.010410454501426705,0.02024838018805587,0.008352932244694267,0.006368857802994567,0.0062078042751437,0.005832953690123493,0.243657682670395,0.319762849484495,0.012312186758582687,,,0.6272135122104073
PIGEON LAKE,0.06879135878198188,0.06740655527319339,0.036214797847699653,0.00920237931266471,0.0006455534821082571,0.8889893083361889,1.772796935810618,0.07115785376548514,0.08799467355256194,0.00329497859597694,0.008699258831312688,0.00458234934830437,0.008669505401477396,0.09992925084344871,0.3423003733631964,0.013146848499956012,,,0.6714538982264368
PIGEON LAKE,0.0251234678341508,0.0772681327525222,0.0017460793883074602,0.0027951273428322805,0.004475474002417523,1.3774648401948422,0.6094286939344462,0.0405639147537248,0.06658814469051301,0.009772767795499786,0.004044741804229603,0.007057523985625041,0.007231851033567459,0.21077398811125975,0.35184152937782465,0.014076995621052663,,,0.6896060631345966
PIGEON LAKE,0.06791267544931051,0.011921601159883569,0.040449821770677206,0.00953256624888766,0.006125147183107334,1.395090641739186,1.6123115935314205,0.015173643411942987,0.03410080809206362,0.005779192014618123,0.008175462631672568,0.00998544103936685,0.006101896513056369,0.2139986966341707,0.31467512607100456,0.012292243731469012,,,0.6170580084105401
PIGEON LAKE,0.06166786161760467,0.06087831928210417,0.08683486369859944,0.006855015794741763,0.0018418298006918467,1.3389414787006033,1.033047903399708,0.08108999351483322,0.0721995134431905,0.007186437226512425,0.008320487688741293,0.0055441611363715865,0.008429665496233977,0.1351284670199734,0.3442934833845898,0.012493422313390463,,,0.6760935444557892
PIGEON LAKE,0.0005100171705704204,0.06253117388436527,0.03855352146371943,0.007401386128562539,0.004306632311680418,1.8585659153316016,1.7170117094313997,0.05313353073728829,0.030908051550227914,0.0029605170603120264,0.0024414570441890562,0.009889792092335254,0.002247806469877374,0.09522764414765267,0.5379783918007192,0.02325490810796045,,,1.0527018754934778
PIGEON LAKE,0.09901704741878095,0.00034056636493924597,0.020352325675156713,0.002597829985040523,0.011346935180674637,0.6439152918639155,1.379804976329679,0.04732931083181159,0.024602356580256106,0.007231265052571229,0.003058426442495917,0.006945554773558659,0.005501630486351502,0.23596919969079022,0.3075589452864185,0.012632941107550246,,,0.6024849494652867
PIGEON LAKE,0.034392577910438496,0.005796014132029258,0.04396206013643374,0.0033642591924794817,0.007673303100736512,1.4076614290467688,1.7097129269088647,0.0632146055116947,0.03469574663518983,0.003782223419336729,0.007410705913363165,0.005771718603405319,0.006024398730796067,0.20030052038980042,0.3149795361539337,0.011732395995987728,,,0.6182266763118797
PIGEON LAKE,0.010243485229784029,0.0253231333181227,0.06703851675458478,0.009731305260031794,0.00367410061651348,1.6876786171478622,1.3280647582662055,0.08966481155419756,0.013613909931575963,0.004073233016754616,0.009439720106107016,0.007982451927250486,0.008794796895893927,0.16645778995477492,0.367546326505942,0.012876663261456008,,,0.722215989750428
