,B_0,A_0,D_0,alpha_D,alpha_Y,tau_D,tau_Y,a_A,a_D,sigma_A,sigma_D,x_A,x_D,n_D,MSE,MSEM,MSEB,MSEP,MSEO
PIGEON LAKE,0.015008242151048713,0.03521359061958517,0.04719100356693501,0.0056462751196815954,0.010790389765194168,1.1498520451427798,1.4044420170813885,0.01722538643383241,0.04995109027486079,0.0010164332079496755,0.00247354891682105,0.003166843531678147,0.007557454900597477,0.042655005290430925,1.5398363678391649,0.006824049846066152,0.07189473827719316,,4.5407903153942355
PIGEON LAKE,0.09133001365104532,0.09759519726997479,0.05671088153003238,0.006243738747579134,0.009579559037411794,0.8037781423502206,0.6619431986239566,0.018135710109115792,0.0022314165549977144,0.007013069893555331,0.009648282541688046,0.008848845577923134,0.001282279125777574,0.08751588894315107,1.5433584291228624,0.006031527806368102,0.07429943858735688,,4.549744320974862
PIGEON LAKE,0.016797535033270285,0.05030609684538501,0.039059322392527136,0.007853302679104213,0.00891974744660764,0.7378890600526953,1.5138695867376109,0.026225028186556365,0.01411303265741947,0.008168258877936872,0.0011261606319363402,0.007707396056462205,0.006080936880671002,0.16355096283028192,1.5429061855271924,0.006133011020875392,0.07673669955806339,,4.545848846002639
PIGEON LAKE,0.04882570377315658,0.06046375872570186,0.08151828548703945,0.004829879061789642,0.010216200061285274,0.5183459567776332,1.2598447701221795,0.0625476695233427,0.0830992580836788,0.004330036670690617,0.008156737394025195,0.001340832100493584,0.004546472812837211,0.1377010345443152,1.528969751778891,0.005813237243071277,0.0771415900022251,,4.503954428091377
PIGEON LAKE,0.047116205936394345,0.04550380352409983,0.05021089191648677,0.0011819039539429253,0.012929810980664161,0.6049738820629675,1.037933065844938,0.04340757679712987,0.05844342522745571,0.0051490129463518525,0.009455356396922132,0.004437096200057151,0.009644348985331454,0.11946277628675292,1.5262938624014437,0.005765038396666331,0.07787983874880637,,4.495236710058859
PIGEON LAKE,0.03138088892523811,0.08926108673661642,0.03405472485806513,0.004375385052346529,0.010396989938921571,1.4786374856730264,0.8021746168881956,0.05237594168458832,0.06220286847857439,0.0076796944268723594,0.003719215821952771,0.0012320398426220562,0.0032305774152019506,0.19198406115199984,1.5382228448524804,0.006006209041981752,0.07739597103628783,,4.531266354479172
PIGEON LAKE,0.02435874708469493,0.05325744805152404,0.006694299600154233,0.0013981461831661613,0.0009791531756082085,0.7693595487783873,1.9415590912484983,0.018618548704344186,0.041080603734588675,0.006017628263623249,0.0048755712905916015,0.006262751129751483,0.005950279929255256,0.14388236465277784,1.5289504994014624,0.0058189448263571905,0.07884938934858798,,4.502183164029442
PIGEON LAKE,0.009181776240835215,0.09014320328846889,0.05580252996170446,0.005334241671779418,0.005739191913942726,0.669254467468849,0.7895812913839795,0.014790200751601729,0.09094153129301238,0.002923848299561952,0.0026811896929230506,0.009779774538384637,0.0035411237956440144,0.10072613503966077,1.5977114129489767,0.007556923984989779,0.07850262047266435,,4.707074694389276
PIGEON LAKE,0.0189030868717626,0.009326861983898246,0.01004659261166383,0.003830223881973957,0.008947877787995346,1.2678138946833015,1.9645502161828932,0.05840579657120114,0.08583666944776208,0.005581444319354468,0.009523506861240242,0.005401513325507123,0.007754901464790071,0.1902409179309732,1.5124816176088631,0.005491046523505644,0.08126999298149033,,4.450683813321594
PIGEON LAKE,0.04086483369155542,0.056442054822408265,0.0004858182844953915,0.006436077817403076,0.01029597444890631,0.8578572432922968,0.5451326353746523,0.053653219920863755,0.055299907700332974,0.003799195998357326,0.006644016714514524,0.0064490388615152106,0.004315181063792597,0.21532809792776542,1.5334747475425683,0.005644701063379434,0.078971852660858,,4.515807688903467
