,B_0,A_0,D_0,e_BD,alpha_B,alpha_D,alpha_Y,tau_B,tau_D,tau_Y,a_A,a_D,sigma_A,sigma_D,x_A,x_D,n_D,MSE,MSEM,MSEB,MSEP,MSEO
PIGEON LAKE,0.04878997569616805,0.013325717699132267,0.01960986390755648,0.7311770019326597,0.005029185644240115,0.0018243071358284204,0.011767259327752395,1.9954469545767606,0.5379242669330448,0.699528134181048,0.024083190819451723,0.09534714555183814,0.006673768197855697,0.001679744325800424,0.009974161818378497,0.008183274369099337,0.05447316694440134,1.1084730707152817,0.047075217876652725,0.16933977634673783,3.058879269853483e-05,4.217446699845038
PIGEON LAKE,0.08786172587240604,0.09127994838341184,0.01147907951670829,0.7801344813799833,0.0056165155324656435,0.00860714952938734,0.0018552328414353607,1.6147965732888179,1.7312591335118055,1.6893359078966663,0.07644217762991992,0.028542259949736425,0.0036587269282620893,0.005147876093764426,0.008230050212115021,0.008645642419196135,0.0010118138871317989,1.2833761492830946,0.0705036426576265,0.1675409459407671,0.00010876007168632125,4.8953512484622985
PIGEON LAKE,0.039568892250513285,0.07297767338826583,0.09248235409684712,0.7188397959744149,0.005066835921357507,0.009463455403880536,0.008492669736457598,1.6841789611476672,1.4027123176488432,0.7817502515567611,0.08576026277367643,0.04170432383823316,0.008234437707055915,0.009574482877473683,0.007269439275467851,0.006519076725973855,0.04537676183714014,1.2881436848322998,0.07528889057791498,0.16648341735723793,2.4147465450814617e-05,4.910778283928596
PIGEON LAKE,0.070641271880767,0.0555837616553894,0.02069445990453672,0.7782059955695388,0.006210605592229007,0.007697508245722797,0.0105124003543497,0.9408769983689773,0.641947383713031,1.476574987994481,0.020340849302096866,0.06913672954201165,0.004697821275530388,0.004183317322268241,0.009207315414774979,0.0013746105631517362,0.0878653543697011,1.2380659357944612,0.03913665118236598,0.1337030924683112,3.0537212797734534e-05,4.77939346231437
PIGEON LAKE,0.007988569725183484,0.039688804474998556,0.007629859045804113,0.7994598066265198,0.001845611154889298,0.001961334373266083,0.004095582505845918,0.7673004500408938,1.7885768018863393,1.2693614925291818,0.003830265423975819,0.06180315029503538,0.004341805831053791,0.0015699343833275817,0.004053462368377713,0.007802513457079434,0.11947300170539528,1.1202331123378628,0.016568060518091256,0.10806095745584168,3.059503173374695e-05,4.356272836345784
PIGEON LAKE,0.0943460438292022,0.018981578824472267,0.02348216528746029,0.6624630181716182,0.009088110546575514,0.006733507147457449,0.007261696492756762,0.9620057707441984,0.6546856250886119,0.7701338624130903,0.027286018224270726,0.07808583703534058,0.00394058380426911,0.00933889993757741,0.001997934949524738,0.003002229210665738,0.0632915020550108,1.294221836372338,0.07408254532826565,0.16684562278810383,2.0826356393568882e-05,4.935938351016588
PIGEON LAKE,0.09675873466558012,0.02900591959734038,0.09885460650589149,0.7871197336437176,0.00321347564418913,0.005977586074452485,0.003561550709023283,0.6537474104793757,1.6076739502987176,1.1483823623216303,0.02699473016782916,0.06715562029514231,0.009751616487948249,0.007338577640211603,0.008420594588488524,0.001452860533714218,0.026545974131445098,1.2580934360748046,0.035618192706304105,0.14095149457868608,0.00015126781675216906,4.855652789197476
PIGEON LAKE,0.05865921404653854,0.033311452046240767,0.0696483716059044,0.7390908154694706,0.007864749516886566,0.0043031114471938055,0.007745892231195541,0.9096785441905234,1.7361304287100778,1.649614362677756,0.06633014740750806,0.014698494108625289,0.007740029201754174,0.006842996586850394,0.008631157247749526,0.004390987981807381,0.0856539809342367,1.2886196842441717,0.07050730142870566,0.16177549895180304,2.1651221004869417e-05,4.922174285375173
PIGEON LAKE,0.03766382868154816,0.0820883633150878,0.004972310891568063,0.7136396240596626,0.004646330229770095,0.0024499011295342995,0.0009713478026422504,1.5116285735958908,0.8455109009510634,1.4690239745748852,0.037424629428695316,0.07162906183281433,0.004973362705180603,0.004559238033903925,0.0015211291266049509,0.0038152914488449228,0.14046388123252418,1.1032501090985753,0.02629857061245206,0.13443825821217412,3.05971962775954e-05,4.252233010373398
PIGEON LAKE,0.09322689439595365,0.061180697162159105,0.062253240680037784,0.6785452396759131,0.008712944515511929,0.0030470520674629508,0.0013982208195010646,1.536075665524426,1.9520807119572312,0.6057230558177831,0.07091681192375107,0.08687668617894626,0.0015769611829858426,0.005106196223455916,0.00788108591552138,0.002798701081009189,0.05792205160340075,1.294161139281824,0.07687989215120994,0.16756388775329636,1.982314223678709e-05,4.932180954080553
PIGEON LAKE,0.04386771217958148,0.061767949558841656,0.08226518098371374,0.7040028696756202,0.0026342658361740963,0.004391827185878042,0.00055879315388773,1.4962174915476794,0.5190848564235389,1.7480417011088814,0.04923077105955806,0.04339902223591703,0.001403567645607933,0.005244218372155821,0.006827871179735641,0.001267175232142397,0.010639652209644315,1.2702162706933648,0.054368231897718465,0.1610981113658433,0.00021414781555390136,4.8651845916943435
PIGEON LAKE,0.02545618993760215,0.05798091115211062,0.0574209999281629,0.7994019243052025,0.00893429999023375,0.008929264240021597,0.0006233530850234901,0.1312313768523765,1.7567957132195458,1.9753408436642508,0.06599084346571489,0.013296171595760735,0.005818865021411969,0.006305236161545223,0.003410558363925075,0.007862985363345289,0.022705974481678014,1.287068582209552,0.0779205856969263,0.16757123904108934,0.00010353340100715321,4.902678970699185
PIGEON LAKE,0.02147347613460302,0.08080244172567486,0.00982953106162815,0.7574662715566377,0.0037235565583338655,0.00989731356764889,0.01280098358866718,0.28406898716471185,1.9428233646425983,1.4541082749867582,0.07344302443701738,0.0062482426301142605,0.0028739923833187306,0.006429831929270711,0.006073673777632308,0.006958540092384085,0.0707648294095659,1.1406928600344048,0.019174136932724867,0.11757496588847019,3.058934088660321e-05,4.425991747975537
PIGEON LAKE,0.01411684794169752,0.018360013061080725,0.0019515527313778008,0.7396151446147589,0.004522457954530488,0.008672040996451712,0.005859112479789978,1.6786040233717587,1.7847144091583511,1.1300075543939103,0.015935652821521137,0.0635755706538077,0.003040185783138088,0.007418026836892656,0.008757410258324026,0.002850000885537954,0.03185809785746751,1.1076457534038082,0.028826726177877723,0.12868544566322365,3.05945431511784e-05,4.2730402472309805
PIGEON LAKE,0.00454506273582532,0.09063324024184544,0.03954889799075341,0.6874655930046069,0.007021556432580732,0.0026941369164081284,0.008546416706188659,0.5721865092806888,0.827680647317586,0.5571885623498256,0.030674901933985064,0.03781530984137181,0.008242342491583496,0.007852718346307547,0.00887217893508437,0.006118248495931099,0.007532395874338765,1.2835204757291006,0.0781193790685716,0.16757125277258975,0.00037503686401058105,4.88801623421123
PIGEON LAKE,0.07204297688155736,0.09890149521419557,0.004436056860972391,0.7343287421051723,0.009980477399737474,0.007523457776203432,0.009044685218528182,1.8799663193436307,0.9922674537994889,0.8626595564402478,0.09584431118815714,0.06745420759823427,0.008051134189297333,0.004762626182848912,0.0024668123202055327,0.0053918219489068305,0.07014681827224609,1.1101834928541336,0.031209920332330342,0.14495697673933275,3.059684776359032e-05,4.264536477497108
PIGEON LAKE,0.07409838945504732,0.014169976247743375,0.06356515153181541,0.7820703449652103,0.002840288464198419,0.007549391356990464,0.0021591039439389286,1.0198440720196384,0.7138346646834884,1.3405539559723116,0.04440546575214499,0.009968085796438847,0.006574809533925684,0.001466146002662626,0.0033628643018980553,0.0024952192220940037,0.12074813055480389,1.1046650611831648,0.06235668319802151,0.19660065950284283,3.059235829940165e-05,4.159672309673495
PIGEON LAKE,0.042348661990336024,0.011901363132954312,0.03992059857288939,0.7656627275010252,0.0016624910852412736,0.005817827533127684,0.0010146111171190943,0.4623882291473168,1.410668127539124,0.6912938374974755,0.07898108990158557,0.026061535164079105,0.0025239498812255636,0.00414648293259546,0.004705152630726977,0.009438615086859847,0.04182416578876567,1.1080394232508548,0.06582717008600016,0.2011264892845103,3.0592922674521545e-05,4.165173440710234
PIGEON LAKE,0.07217571679264212,0.05100700228145247,0.06913134394227737,0.7418944150460094,0.0069239881726379975,0.002946131198510565,0.004990516983241057,1.5648783144161984,0.8765709440368181,1.921200290728048,0.08244480706770572,0.06803258766397836,0.008013547714363464,0.009596662859206073,0.008408071129312054,0.004156295712227265,0.081795016103769,1.2854664602580324,0.06868222311032228,0.16033030276712376,1.9786636740731955e-05,4.912833528517942
PIGEON LAKE,0.014567719834590868,0.09419656050612692,0.03021715041072695,0.7637546998249223,0.006378841545773465,0.009877711107596936,0.01038464832442319,1.2760816789709728,1.5055047034084703,0.8258543131972726,0.09635978670974885,0.03913304912824114,0.008500117257622489,0.009226743637119016,0.0011188961824939152,0.007978651723349165,0.08990096562994919,1.2731044784044252,0.06234432265830501,0.15259789629617282,3.057157148134932e-05,4.877445123091742
PIGEON LAKE,0.030497708049015134,0.0278084121079807,0.0412624625040012,0.6913938373765528,0.009467157702103088,0.00671185944409786,0.011146927270860484,1.1258622624196595,0.6164032088959206,0.8330758472481514,0.02829625203135642,0.06552387977921531,0.007893741045823,0.0050487399945750725,0.008352646074342386,0.00762540654215663,0.08720474222313014,1.2829054580536177,0.06714955437813104,0.15854927965178123,3.0553903836111766e-05,4.905892444280722
PIGEON LAKE,0.006917440202509305,0.024815029528752988,0.09982172557504126,0.729227853997322,0.008565669470364181,0.005918356130702876,0.0062053313938925415,0.3088308258754042,1.7707594929284278,1.1440043611597663,0.013305222472880643,0.02675181810465757,0.0021276068595548403,0.007107086231895641,0.0013303521669815882,0.004823109009127376,0.017215152801651243,1.2853663079426918,0.07816989577812944,0.16757124478712865,0.0003141660531620936,4.895409925152347
