,B_0,A_0,D_0,e_BD,alpha_B,alpha_D,alpha_Y,tau_B,tau_D,tau_Y,a_A,a_D,sigma_A,sigma_D,x_A,x_D,n_D,MSE,MSEM,MSEB,MSEP,MSEO
PIGEON LAKE,0.04878997569616805,0.013325717699132267,0.01960986390755648,0.7311770019326597,0.005029185644240115,0.0018243071358284204,0.011767259327752395,1.9954469545767606,0.5379242669330448,0.699528134181048,0.024083190819451723,0.09534714555183814,0.006673768197855697,0.001679744325800424,0.009974161818378497,0.008183274369099337,0.05447316694440134,3.202960121080259,0.4256818729791254,0.09605080721408797,,9.087147683047563
PIGEON LAKE,0.08786172587240604,0.09127994838341184,0.01147907951670829,0.7801344813799833,0.0056165155324656435,0.00860714952938734,0.0018552328414353607,1.6147965732888179,1.7312591335118055,1.6893359078966663,0.07644217762991992,0.028542259949736425,0.0036587269282620893,0.005147876093764426,0.008230050212115021,0.008645642419196135,0.0010118138871317989,3.757146022751984,0.046426725954450035,0.15460321206776131,,11.07040813023374
PIGEON LAKE,0.039568892250513285,0.07297767338826583,0.09248235409684712,0.7188397959744149,0.005066835921357507,0.009463455403880536,0.008492669736457598,1.6841789611476672,1.4027123176488432,0.7817502515567611,0.08576026277367643,0.04170432383823316,0.008234437707055915,0.009574482877473683,0.007269439275467851,0.006519076725973855,0.04537676183714014,3.7549498433021284,0.04778301419680854,0.14651595267129264,,11.070550563038283
PIGEON LAKE,0.070641271880767,0.0555837616553894,0.02069445990453672,0.7782059955695388,0.006210605592229007,0.007697508245722797,0.0105124003543497,0.9408769983689773,0.641947383713031,1.476574987994481,0.020340849302096866,0.06913672954201165,0.004697821275530388,0.004183317322268241,0.009207315414774979,0.0013746105631517362,0.0878653543697011,3.398778974922383,0.07661474379007698,0.07761948326437015,,10.042102697712702
PIGEON LAKE,0.007988569725183484,0.039688804474998556,0.007629859045804113,0.7994598066265198,0.001845611154889298,0.001961334373266083,0.004095582505845918,0.7673004500408938,1.7885768018863393,1.2693614925291818,0.003830265423975819,0.06180315029503538,0.004341805831053791,0.0015699343833275817,0.004053462368377713,0.007802513457079434,0.11947300170539528,3.420228130334694,0.04181503374516294,0.08247115017716473,,10.136398207081754
PIGEON LAKE,0.0943460438292022,0.018981578824472267,0.02348216528746029,0.6624630181716182,0.009088110546575514,0.006733507147457449,0.007261696492756762,0.9620057707441984,0.6546856250886119,0.7701338624130903,0.027286018224270726,0.07808583703534058,0.00394058380426911,0.00933889993757741,0.001997934949524738,0.003002229210665738,0.0632915020550108,3.5855484803068367,0.0168015228634124,0.09336010047245197,,10.646483817584645
PIGEON LAKE,0.09675873466558012,0.02900591959734038,0.09885460650589149,0.7871197336437176,0.00321347564418913,0.005977586074452485,0.003561550709023283,0.6537474104793757,1.6076739502987176,1.1483823623216303,0.02699473016782916,0.06715562029514231,0.009751616487948249,0.007338577640211603,0.008420594588488524,0.001452860533714218,0.026545974131445098,3.6609762739616847,0.03808019880597551,0.1492187724808542,,10.795629850598225
PIGEON LAKE,0.05865921404653854,0.033311452046240767,0.0696483716059044,0.7390908154694706,0.007864749516886566,0.0043031114471938055,0.007745892231195541,0.9096785441905234,1.7361304287100778,1.649614362677756,0.06633014740750806,0.014698494108625289,0.007740029201754174,0.006842996586850394,0.008631157247749526,0.004390987981807381,0.0856539809342367,3.716569805654266,0.02871910995036927,0.128087682833497,,10.992902624178932
PIGEON LAKE,0.03766382868154816,0.0820883633150878,0.004972310891568063,0.7136396240596626,0.004646330229770095,0.0024499011295342995,0.0009713478026422504,1.5116285735958908,0.8455109009510634,1.4690239745748852,0.037424629428695316,0.07162906183281433,0.004973362705180603,0.004559238033903925,0.0015211291266049509,0.0038152914488449228,0.14046388123252418,3.347504566591944,0.02913243848556849,0.08764286335651485,,9.925738397933749
PIGEON LAKE,0.09322689439595365,0.061180697162159105,0.062253240680037784,0.6785452396759131,0.008712944515511929,0.0030470520674629508,0.0013982208195010646,1.536075665524426,1.9520807119572312,0.6057230558177831,0.07091681192375107,0.08687668617894626,0.0015769611829858426,0.005106196223455916,0.00788108591552138,0.002798701081009189,0.05792205160340075,3.818343314091989,0.0740958409543379,0.16543191334950322,,11.215502187972126
PIGEON LAKE,0.04386771217958148,0.061767949558841656,0.08226518098371374,0.7040028696756202,0.0026342658361740963,0.004391827185878042,0.00055879315388773,1.4962174915476794,0.5190848564235389,1.7480417011088814,0.04923077105955806,0.04339902223591703,0.001403567645607933,0.005244218372155821,0.006827871179735641,0.001267175232142397,0.010639652209644315,3.643915566669343,0.04850010823817123,0.14811972478412586,,10.735126866985732
PIGEON LAKE,0.02545618993760215,0.05798091115211062,0.0574209999281629,0.7994019243052025,0.00893429999023375,0.008929264240021597,0.0006233530850234901,0.1312313768523765,1.7567957132195458,1.9753408436642508,0.06599084346571489,0.013296171595760735,0.005818865021411969,0.006305236161545223,0.003410558363925075,0.007862985363345289,0.022705974481678014,3.816617271467658,0.07789210995466671,0.1674750945872354,,11.204484609861073
PIGEON LAKE,0.02147347613460302,0.08080244172567486,0.00982953106162815,0.7574662715566377,0.0037235565583338655,0.00989731356764889,0.01280098358866718,0.28406898716471185,1.9428233646425983,1.4541082749867582,0.07344302443701738,0.0062482426301142605,0.0028739923833187306,0.006429831929270711,0.006073673777632308,0.006958540092384085,0.0707648294095659,3.4284301290500117,0.027054181933428203,0.08885334287936168,,10.169382862337244
PIGEON LAKE,0.01411684794169752,0.018360013061080725,0.0019515527313778008,0.7396151446147589,0.004522457954530488,0.008672040996451712,0.005859112479789978,1.6786040233717587,1.7847144091583511,1.1300075543939103,0.015935652821521137,0.0635755706538077,0.003040185783138088,0.007418026836892656,0.008757410258324026,0.002850000885537954,0.03185809785746751,3.2527247014708607,0.22946622068868225,0.07700096077480635,,9.451706922949093
