,lake_mix_layer_temperature,Date
0,0.015607959056069376,2021-05-01
1,0.1343011847467892,2021-05-02
2,0.35308727810712526,2021-05-03
3,0.6814919952334435,2021-05-04
4,1.240464968059939,2021-05-05
5,2.0315238088072647,2021-05-06
6,3.0217850726824054,2021-05-07
7,3.608448274171849,2021-05-08
8,3.6785998734691816,2021-05-09
9,4.218600815496075,2021-05-10
10,4.842668865361816,2021-05-11
11,5.596187006963305,2021-05-12
12,6.376220823603262,2021-05-13
13,7.213783911654048,2021-05-14
14,8.032326028610896,2021-05-15
15,8.846955367018609,2021-05-16
16,9.704718410354019,2021-05-17
17,10.122564130859189,2021-05-18
18,8.990614159406675,2021-05-19
19,7.71475419609169,2021-05-20
20,7.074524195940967,2021-05-21
21,7.447089321905821,2021-05-22
22,8.039484924644285,2021-05-23
23,8.931547490958678,2021-05-24
24,8.90236283540736,2021-05-25
25,9.241770312613369,2021-05-26
26,9.744784691639097,2021-05-27
27,10.733624296964592,2021-05-28
28,10.553849463716347,2021-05-29
29,11.61501437106898,2021-05-30
30,12.685065903819122,2021-05-31
31,13.68988300071942,2021-06-01
32,15.056482419294468,2021-06-02
33,16.30357049071978,2021-06-03
34,16.95953887600075,2021-06-04
35,17.091863947628553,2021-06-05
36,16.275527105775097,2021-06-06
37,15.633004725765602,2021-06-07
38,14.866359160621926,2021-06-08
39,14.635005139067005,2021-06-09
40,14.281919183776267,2021-06-10
41,13.89512032310978,2021-06-11
42,14.382606291188608,2021-06-12
43,14.767946756009565,2021-06-13
44,15.961023188097727,2021-06-14
45,17.349761355428825,2021-06-15
46,16.810890077290992,2021-06-16
47,15.300536194913718,2021-06-17
48,14.356348369832801,2021-06-18
49,15.700658708282958,2021-06-19
50,15.895293610094598,2021-06-20
51,16.191966272713955,2021-06-21
52,17.299079898272794,2021-06-22
53,17.670203078675684,2021-06-23
54,17.5973954276663,2021-06-24
55,18.077599849002127,2021-06-25
56,18.451252174570072,2021-06-26
57,19.930277730238174,2021-06-27
58,20.803243619699856,2021-06-28
59,21.896450732258927,2021-06-29
60,22.032224583774052,2021-06-30
61,21.444486808453917,2021-07-01
62,21.843133478634456,2021-07-02
63,22.136293620339018,2021-07-03
64,21.40462965091774,2021-07-04
65,20.121073258443403,2021-07-05
66,19.301056736459884,2021-07-06
67,19.175475344873576,2021-07-07
68,20.273306412884494,2021-07-08
69,20.974984595653268,2021-07-09
70,21.477859510785947,2021-07-10
71,21.336972760305912,2021-07-11
72,20.635338071874855,2021-07-12
73,20.706051590746256,2021-07-13
74,20.919950649981843,2021-07-14
75,21.489172861444956,2021-07-15
76,21.205168354856994,2021-07-16
77,19.87407176269562,2021-07-17
78,18.861684108243026,2021-07-18
79,18.034004402238907,2021-07-19
80,18.218550874475,2021-07-20
81,18.10373207103663,2021-07-21
82,18.291516229727165,2021-07-22
83,17.511217461259776,2021-07-23
84,17.336527901302304,2021-07-24
85,17.986742417977325,2021-07-25
86,18.401326292851536,2021-07-26
87,18.670008000533983,2021-07-27
88,19.03109629084355,2021-07-28
89,19.63702283842281,2021-07-29
90,20.45944681893201,2021-07-30
91,20.81964076760903,2021-07-31
92,21.25225976961309,2021-08-01
93,21.84524389732229,2021-08-02
94,21.6091714976709,2021-08-03
95,21.70039066507786,2021-08-04
96,21.9716173389358,2021-08-05
97,21.653129205006394,2021-08-06
98,20.459016662910983,2021-08-07
99,19.353278733349782,2021-08-08
100,18.081108988951712,2021-08-09
101,18.282990249565444,2021-08-10
102,17.232544068234404,2021-08-11
103,16.431124882542292,2021-08-12
104,16.767638629978876,2021-08-13
105,17.830985413272572,2021-08-14
106,18.467878978839735,2021-08-15
107,18.624853379017907,2021-08-16
108,17.275099465622304,2021-08-17
109,16.428988605031066,2021-08-18
110,16.385693426334285,2021-08-19
111,16.269932991740234,2021-08-20
112,16.008823448393287,2021-08-21
113,15.251391407770882,2021-08-22
114,14.269927642313178,2021-08-23
115,12.874072720656216,2021-08-24
116,13.032934206433993,2021-08-25
117,13.46439924852092,2021-08-26
118,13.980776621389225,2021-08-27
119,14.148140966757296,2021-08-28
120,14.649645002576278,2021-08-29
121,15.138193888892431,2021-08-30
122,15.112198404718185,2021-08-31
123,13.773098798168121,2021-09-01
124,11.973288494869053,2021-09-02
125,11.582619030351793,2021-09-03
126,12.364325841867128,2021-09-04
127,12.943689434659746,2021-09-05
128,13.320647645159056,2021-09-06
129,13.204931819265028,2021-09-07
130,13.66845645036426,2021-09-08
131,13.822092509812592,2021-09-09
132,14.340926918104742,2021-09-10
133,14.359754735530828,2021-09-11
134,14.023878520563244,2021-09-12
135,13.45677421552017,2021-09-13
136,12.881957439145651,2021-09-14
137,12.627775251320031,2021-09-15
138,10.79010523948466,2021-09-16
139,9.657001113834156,2021-09-17
140,9.956876301848581,2021-09-18
141,10.2158414751176,2021-09-19
142,9.660421928362439,2021-09-20
143,9.705242852168055,2021-09-21
144,10.131880312330566,2021-09-22
145,10.037709216611859,2021-09-23
146,9.503719901761542,2021-09-24
147,10.427395267501254,2021-09-25
148,10.7064577684298,2021-09-26
149,11.040221823518323,2021-09-27
150,11.361283177348014,2021-09-28
151,10.873109375322315,2021-09-29
152,10.382777045198623,2021-09-30
